,id,gradeLevel,questionType,theme,question,optionA,optionB,optionC,optionD,answer,explanation,image,questionAudio,optionsAudio,configJson,isActive,note
81,mid019,mid,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),為什麼當你請 AI 畫「護理師」時，它可能大多畫出女生，而很少畫出男生？,因為只有女生可以當護理師,因為 AI 學習的網路資料大多是女性護理師，產生了「刻板印象」,因為男生不喜歡 AI ,因為 AI 不會畫男生的短頭髮,B,AI 會根據網路上人類提供的資料來學習。如果多數資料都將護理師描繪成女性，AI 就會學到這個偏見而產生「刻板印象」。,,,,,,
82,mid020,mid,single_choice,三、 使用安全與倫理規範 (個人隱私保護),在網路上跟 AI 聊天時，告訴它哪一種資訊是比較「安全」的？,我家真實地址和電話,我爸爸的信用卡密碼,我最喜歡吃的水果是蘋果,我學校的學號和真實姓名,C,姓名、住址、電話和密碼等屬於個人機密資訊，絕對不能告訴 AI。只有分享一般的興趣或喜好才是安全的。,,,,,,
83,mid021,mid,single_choice,二、 學習運用與正向協助 (輔助學習工具),遇到不會算的數學分數題目，你應該怎麼請 AI 學習夥伴幫助你？,請 AI 直接給我答案，我照抄就好,把考卷拍照傳給 AI 讓它幫全班寫,請 AI 教我怎麼思考這題，但不要直接給答案,叫 AI 把數學課本變不見,C,AI 應該是引導我們思考的「解釋小幫手」，而不是替我們寫作業的機器。請它教導思考步驟，才能真正學到知識。,,,,,,
84,mid022,mid,single_choice,一、 AI 認知與資訊素養 (提示詞工程),為什麼我們在請 AI 幫忙畫圖或寫文章時，要把條件（提示詞）說得越清楚越好？,因為 AI 會讀心術，條件清楚它才能啟動魔法,因為 AI 就像玩積木，給的材料和資訊越明確，它拼出來的答案就越準確,因為 AI 的聽力不好，講太短它聽不見,因為字數越多， AI 就會送我們禮物,B,AI 不會讀心術，我們給的資訊越明確（就像準備好的積木材料），AI 就越知道我們想要什麼，給出的答案才會越精準。,,,,,,
85,mid023,mid,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),當你請 AI 畫一位「科學家」時，它總是畫出穿著白袍的白髮老爺爺，這可能是因為什麼原因？,因為 AI 學習的網路資料大多是這種形象，產生了「刻板印象」,因為世界上只有白髮老爺爺才能當科學家,因為 AI 的畫筆只有白色,因為 AI 討厭年輕人,A,AI 學習了網路上成千上萬的資料，如果大部分資料都把科學家畫成白髮老爺爺，AI 就會學到這個偏見並產生「刻板印象」。,,,,,,
86,mid024,mid,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),下列哪一項最能說明 AI 的本質？,AI 是有感情的真人朋友,AI 是用資料訓練出的運算系統,AI 會自己決定什麼是真理,AI 會讀心術,B,AI 不是人，而是根據資料與模型運算產生結果的系統。,,,,,,
87,mid025,mid,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 能回答許多問題，主要原因是它？,收集並學習大量資料中的規律,每天都在學校上課,可以親自到處旅行,一定比人類更懂所有事情,A,AI 從大量資料找規律，因此能生成回應，但不代表全知。,,,,,,
88,mid026,mid,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),下面哪個說法正確？,AI 的回答一定是事實,AI 可能因資料限制而出錯,AI 有自己的價值判斷,AI 可以取代所有老師,B,AI 可能因訓練資料、提問方式或脈絡不足而出現錯誤。,,,,,,
89,mid027,mid,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),當 AI 回答很流暢時，我們最應該記得什麼？,流暢不代表一定正確,說得快就一定可靠,越像人越值得相信,AI 不會受資料影響,A,生成式 AI 可以說得像真的一樣，但仍可能有錯。,,,,,,
90,mid028,mid,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 和搜尋引擎最大的不同之一是？,AI 只會找圖片,AI 會生成整理過的回應,搜尋引擎一定比較慢,兩者完全沒有差別,B,AI 常會整合資料生成回答，而搜尋引擎多半提供連結與結果清單。,,,,,,
91,mid029,mid,single_choice,一、 AI 認知與資訊素養 (辨別真偽),看到『名人親口推薦投資』的影片時，第一步最好是？,先查來源與新聞報導,立刻轉傳給家人,因為很像真就先相信,先留言按讚,A,深偽內容可能非常逼真，因此要先查證來源。,,,,,,
92,mid031,mid,single_choice,一、 AI 認知與資訊素養 (辨別真偽),對於網路上『太誇張』的 AI 生成圖片，最好的態度是？,當作真相立刻使用,先懷疑並找其他證據,只要朋友傳的就一定對,看到漂亮就收藏轉發,B,誇張、煽動或不合常理的內容更需要查證。,,,,,,
93,mid033,mid,single_choice,一、 AI 認知與資訊素養 (辨別真偽),發現同學想轉傳可疑換臉影片時，最好的建議是？,先停下來，不要轉傳,越多人看越好,先下載收藏,只看標題就分享,A,未查證的深偽內容不宜轉傳，避免散布不實資訊與造成傷害。,,,,,,
94,mid036,mid,single_choice,一、 AI 認知與資訊素養 (批判性思考),若 AI 的答案和老師上課內容不同，最合理的做法是？,判定老師錯了,追問原因並查證資料,兩邊都不要管,把 AI 答案傳遍全班,B,應先查明差異原因，而不是急著下結論。,,,,,,
95,mid038,mid,single_choice,一、 AI 認知與資訊素養 (批判性思考),如果 AI 給你的答案過度絕對，例如『一定』『全部』，你最好？,更注意有沒有例外情況,因為很有自信所以相信,不用查證,直接做成海報,A,過度絕對的說法常需要更多查證。,,,,,,
96,mid040,mid,single_choice,一、 AI 認知與資訊素養 (提示詞工程),如果 AI 回答太難，最適合追加哪種要求？,請改用國小中年級能懂的例子說明,再難一點,不要分段,回答越長越好,A,補充受眾與表達方式，能讓回答更適合。,,,,,,
97,mid041,mid,single_choice,一、 AI 認知與資訊素養 (提示詞工程),下面哪個提示最有助於做摘要？,幫我看,請把這篇文章整理成 5 個重點，每點不超過 20 字,快一點,這篇好長,B,指定重點數量與格式，可提升輸出品質。,,,,,,
98,mid042,mid,single_choice,一、 AI 認知與資訊素養 (提示詞工程),要讓 AI 幫你設計海報文案，除了主題外還可補充？,用途與對象,自己的密碼,同學的電話,學校的門禁碼,A,補充用途、對象、風格等資訊，回答會更精準。,,,,,,
99,mid043,mid,single_choice,一、 AI 認知與資訊素養 (提示詞工程),和 AI 互動時，若第一次回答不夠好，較好的策略是？,放棄不用,改寫問題並增加條件,一直複製同一句,責怪 AI 就好,B,提示詞可逐步修正，改善輸出品質。,,,,,,
100,mid044,mid,single_choice,二、 學習運用與正向協助 (輔助學習工具),AI 在學習上最適合扮演什麼角色？,輔助理解的工具,代替你上課的分身,幫你隱瞞不會的答案,保證拿高分的捷徑,A,AI 適合協助解釋概念、練習與整理，不是取代學習。,,,,,,
101,mid045,mid,single_choice,二、 學習運用與正向協助 (輔助學習工具),你遇到看不懂的自然課內容時，可以請 AI？,用生活例子重新解釋,替你把作業整份寫完,幫你跟老師請假,提供同學帳密,A,AI 可幫助轉譯難懂內容，促進理解。,,,,,,
102,mid046,mid,single_choice,二、 學習運用與正向協助 (輔助學習工具),用 AI 練習英文口說時，較好的做法是？,請 AI 提供情境句並自己跟讀,只看答案完全不開口,把 AI 當考試作弊工具,完全不檢查發音,A,AI 可做練習夥伴，但真正的學習仍要自己參與。,,,,,,
103,mid047,mid,single_choice,二、 學習運用與正向協助 (輔助學習工具),AI 幫你列出數學解題步驟後，接著應該？,自己檢查是否看懂每一步,直接抄上去就好,跳過題目不做,拿去交朋友代寫,A,理解每一步，才能真正學會。,,,,,,
104,mid049,mid,single_choice,二、 學習運用與正向協助 (創意激發),寫故事前，AI 最適合先幫你做什麼？,提供角色或情節靈感,代替你交稿,決定你的分數,隱藏你的錯誤,A,AI 可以作為發想工具，幫助打開思路。,,,,,,
105,mid050,mid,single_choice,二、 學習運用與正向協助 (創意激發),若要避免作品變成『大家都一樣』，使用 AI 後最好？,加入自己的觀察與修改,完全照抄第一版,只改標題,不看內容就提交,A,把 AI 建議轉化成自己的作品，才能保有創意。,,,,,,
106,mid051,mid,single_choice,二、 學習運用與正向協助 (創意激發),想設計校慶海報，哪個做法最能善用 AI？,先說明主題、對象與風格，再自己挑選修改,直接請 AI 決定一切,複製別人的作品,完全不看版權與來源,A,AI 可做發想，但最後仍需人來判斷與設計。,,,,,,
107,mid052,mid,single_choice,二、 學習運用與正向協助 (創意激發),AI 在創作上的價值，比較接近哪一項？,靈感加速器,保證原創的印章,不用思考的捷徑,分數製造機,A,AI 可以幫助發想，但不等於原創保證。,,,,,,
108,mid054,mid,single_choice,二、 學習運用與正向協助 (資料整理與摘要),閱讀長文後請 AI 摘要，為什麼仍要回頭看原文？,因為摘要可能漏掉重點或出現錯誤,因為 AI 一定很短,因為原文比較漂亮,其實不用看,A,摘要有便利性，但準確度仍需自己檢核。,,,,,,
109,mid056,mid,single_choice,二、 學習運用與正向協助 (資料整理與摘要),如果 AI 的摘要和原文不一致，應該？,以原文與可信資料為準,以最短的版本為準,因為 AI 比較新所以用 AI,兩者混在一起不用查,A,原始資料與可信來源仍是檢查基準。,,,,,,
110,mid057,mid,single_choice,二、 學習運用與正向協助 (資料整理與摘要),AI 協助整理資料最主要的好處是？,提升理解與複習效率,保證每次都滿分,讓人永遠不用讀書,取代老師批改,A,摘要與整理能節省時間，但不能取代真正理解。,,,,,,
111,mid060,mid,single_choice,三、 使用安全與倫理規範 (個人隱私保護),如果同學要你把班級名單輸入 AI 做整理，你應該？,先拒絕並提醒這涉及個資,直接上傳比較快,只要不說就沒關係,把更多資料一起放,A,班級名單屬個資，應先取得合適授權並避免外洩。,,,,,,
112,mid061,mid,single_choice,三、 使用安全與倫理規範 (個人隱私保護),為什麼使用 AI 時要避免輸入帳號密碼？,可能造成帳號與資料風險,因為 AI 看不懂數字,因為密碼太短,因為輸入會讓螢幕變慢,A,帳號密碼屬高度敏感資料，外洩風險大。,,,,,,
113,mid062,mid,single_choice,三、 使用安全與倫理規範 (個人隱私保護),如果某個平臺要求提供過多個人資料，較好的做法是？,先詢問家長或老師並確認規範,為了方便全部填寫,改填同學資料,截圖公開分享,A,年齡較小的學生使用平臺應有大人協助把關。,,,,,,
114,mid064,mid,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),老師允許用 AI 潤稿作文時，哪個做法較符合誠實原則？,先自己寫，再標示 AI 協助修句,請 AI 全寫完後直接交,抄 AI 內容說是自己靈感,找同學替你隱瞞,A,AI 可在規定內協助，但不應代寫整份作業。,,,,,,
115,mid065,mid,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),若 AI 圖像總把科學家畫成同一種性別，這提醒我們？,AI 可能受到資料偏見影響,代表只有那種人才會當科學家,這一定是正確歷史,只要好看就沒問題,A,資料不夠多元時，AI 可能產生刻板印象。,,,,,,
116,mid066,mid,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),下列哪一項屬於不當使用 AI？,拿 AI 幫忙想提問方向,用 AI 代寫報告並冒充原創,請 AI 解釋生字,用 AI 練習摘要,B,代寫並冒充原創違反學術誠信。,,,,,,
117,mid067,mid,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),當 AI 的回答帶有歧視或嘲笑某群人的內容時，應該？,停止使用並向師長反映,照樣複製使用,因為是 AI 說的就接受,把內容做成笑話傳出去,A,應尊重他人，避免使用歧視或霸凌內容。,,,,,,
118,mid069,mid,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),若你發現自己越來越凡事都先問 AI，較好的調整方式是？,先自己思考幾分鐘再使用,把所有決定交給 AI,整天掛在線上,不再和同學討論,A,先思考再使用 AI，能保留獨立思考能力。,,,,,,
119,mid071,mid,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),下列哪種情況代表對 AI 過度依賴？,連簡單選擇都不願自己想,用 AI 複習重點後自己再整理,請 AI 提供不同觀點,和同學討論後再使用,A,若連基本判斷都完全交給 AI，就是過度依賴。,,,,,,
120,mid072,mid,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),維持良好的數位生活，最合理的做法是？,平衡 AI、閱讀、運動與人際互動,只跟 AI 聊天,把作業與娛樂都交給 AI,整晚不睡覺研究 AI,A,科技便利很重要，但生活平衡更重要。,,,,,,
121,mid073,mid,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),若同學因使用 AI 而焦慮或睡不好，較好的建議是？,適度休息並向師長求助,繼續熬夜練習,不要告訴任何人,用更多 AI 來忘記壓力,A,使用科技若影響情緒或作息，應及時調整並尋求支持。,,,,,,
122,high001,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),當你看到一張令人驚訝的網路照片時，可以觀察哪些細節來判斷它是不是 AI 生成的假照片（深偽技術）？,檢查照片裡的人是否長得很帥或很美,仔細觀察人物的手指數量是否正確、背景是否不自然扭曲,看看照片是不是彩色的,檢查照片是不是在白天拍的,B,AI 在畫畫時常會在小地方出錯，例如手指數量不對、長得像融化的蠟燭，或是背景線條歪斜，這些都是破案的關鍵細節。,,,,,,
123,high002,high,single_choice,二、 學習運用與正向協助 (資料整理與摘要),老師請大家寫一篇關於「難忘的一天」的遊記，你可以如何善用 AI（例如寫作精靈）來幫助你？,直接請AI幫你寫出一篇完整的作文，然後直接抄寫,將長篇文章全部丟給同學寫,請AI提供大綱與思考提示，再自己寫出每一段的內容,叫AI把文章翻譯成沒人看得懂的火星文,C,我們可以利用 AI 激發作文好點子、規劃大綱和獲得思考提示，但最終還是要由自己來創作與表達每一段內容。,,,,,,
124,high003,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),如果一直讓 AI 幫你寫作業，不自己思考，長久下來可能會發生什麼事？,會因為AI的幫忙而變得越來越聰明,腦袋裡沒有累積知識積木，會失去獨立思考與解決問題的能力,會立刻成為全校最厲害的專家,AI會因為幫忙太多次而當機,B,知識就像疊高積木，過度依賴 AI 直接給答案，會讓自己的思考肌肉變無力，無法創造出屬於自己的東西。,,,,,,
125,high004,high,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),如果發現有人利用「深偽技術」（Deepfake）將別人的臉合成到不當的性影像上，應該怎麼做才是正確的？,覺得好笑，馬上轉傳到班級群組,截圖保留證據，並向「衛生福利部性影像處理中心」線上申訴,在網路上留言嘲笑那位同學,馬上自己也用AI做一張假照片報復,B,遇到不當性影像時，這不是被害者的錯。應先截圖保留證據並向專業單位申訴協助移除，切勿轉傳以免造成二度傷害。,,,,,,
126,high005,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),AI 提供的資訊有時候可能會有偏見或錯誤，因此我們使用 AI 時應該保持什麼樣的態度？,絕對無條件相信AI給的答案,認為課本的知識一定過時了，全部採用AI的說法,保持懷疑，主動查核其他資料來源，不全盤接受,隨便挑一個看起來順眼的答案寫上去就好,C,使用 AI 時應結合自己的經驗和批判性思維來檢視結果，學會查證，不全盤接受生成內容，因為 AI 也會出錯。,,,,,,
127,high006,high,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),如果不幸發現自己或同學遭到「深偽技術」（Deepfake）變臉，製作成不當的影片，請問正確的處理方式是什麼？,覺得丟臉，立刻把手機關機當作沒發生,先截圖保留證據，並向「衛生福利部性影像處理中心」申訴協助移除下架,轉傳給其他同學，問他們是不是真的,自己也用 AI 做一張假照片報復對方,B,遇到這類遭到深偽技術製作不當影像的事件，這不是被害者的錯。應先截圖保留證據，向專業單位線上申訴，切勿轉傳以免造成二度傷害。,,,,,,
128,high007,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),如果你想請 AI 幫忙修改一篇你寫好的作文，怎麼下達指令（Prompt）會得到最有用的建議？,「幫我改作文。」,「我的作文寫得很爛，你隨便改。」,「請你當作國文老師，幫我這篇作文提出修改意見，讓句子更通順。」,「把這篇文章變成火星文。」,C,給 AI 的指令越明確，例如指定角色（國文老師）、說明任務（提出修改意見）、給予目標（讓句子更通順），AI 給出的答案與建議就會越精準且實用。,,,,,,
129,high008,high,single_choice,三、 使用安全與倫理規範 (心理健康與適度使用),老師說知識就像「疊高積木」，如果我們一直讓 AI 直接給我們答案，而自己都不去思考，會發生什麼事？,我們的「思考肌肉」會變得越來越強壯,我們的腦袋會長出真正的積木,我們會失去獨立思考的機會，就像自己的知識箱子永遠是空的, AI 會代替我們去學校上課,C,知識就像疊高積木，過度依賴 AI 給答案，大腦就會缺乏思考鍛鍊，讓自己的思考肌肉變無力。自己辛苦思考的過程，才能創造越多的東西。,,,,,,
130,high009,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),「生成式人工智慧」有時會根據不存在的事實產生聽起來很真實卻是錯誤的答案，這種現象被稱為什麼？, AI 覺醒, AI 幻覺, AI 讀心術, AI 魔法,B,AI 無法自行判斷結果的正確性，有時候會編造出根本沒發生或不存在的細節，這種會出錯或自以為是的現象叫做「AI幻覺」。,,,,,,
131,high010,high,single_choice,三、 使用安全與倫理規範 (演算法偏見認知),當你請 AI 推薦臺灣傳統美食時，發現它只推薦特定地區的夜市小吃，忽略了原住民的傳統飲食，這是因為什麼原因？,因為 AI 學習的網路資料存在偏差，產生了「刻板印象」,因為 AI 有自己的味覺偏好,因為原住民美食不能在網路上討論,因為 AI 的電腦壞掉了,A,AI 的答案來自它學習的資料。如果網路上的討論大多集中在某幾樣小吃，AI 就會學到這個偏見並產生「刻板印象」，忽略多元的文化。,,,,,,
132,high011,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),發現網路上有知名人士鼓勵投資的煽動性影片，你懷疑這可能是用「深偽技術（Deepfake）」製作的，應該怎麼做？,覺得能賺錢，立刻分享給所有親朋好友,仔細檢查影片人物的表情或背景是否不自然，並向長輩查證，絕不輕易相信與轉傳,幫忙把這部影片重新剪輯配音再上傳,馬上照著影片的指示把零用錢匯過去,B,面對可能由深偽技術合成的影片，應保持警覺不輕易相信。我們可以尋找不合理的細節（如歪斜的背景）當作破案線索，並主動查證。,,,,,,
133,high012,high,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),有些平臺會要求輸入信箱或電話才能使用 AI 工具。為了保護資訊安全，國中小學生應該優先選擇哪種工具？,隨便找一個國外的免費不明 AI 網站就輸入個資註冊,優先使用專為教育目的設計的 AI 產品（如教育部因材網e度），並在師長引導下使用,盜用同學的帳號密碼來登入 AI 平臺,把家裡的機密資料都輸入進去換取使用權限,B,為了避免個資外洩的高風險，中小學生應優先使用教育目的設計的 AI 工具（如因材網 e度或酷英網 E-BOT），並遵守平臺年齡規範及在師長指導下使用。,,,,,,
134,high013,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),為了準備一篇關於「校外教學」的遊記，你可以如何善用 AI 工具幫你起頭？,「幫我寫一篇1000字的校外教學遊記，我要直接複製貼上。」,「請用『表格』的方式，幫我列出這篇校外教學遊記的四段式作文大綱。」,「幫我查我們學校明天的午餐吃什麼。」,「去網路上盜用別人的遊記給我。」,B,給予明確的指令（例如指定使用「表格」呈現四段式大綱），能有效利用 AI 幫忙規劃寫作架構，激發點子而不取代自己的寫作過程。,,,,,,
135,high014,high,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),在成為一位「負責任的 AI 使用者」的三個原則中，最重要的是哪一項？,先有自己的原創想法，再使用 AI 協助與補充,全部讓 AI 從頭到尾幫忙想、幫忙寫,絕不告訴任何人我有使用 AI ,盡量使用別人的帳號登入 AI 平臺,A,負責任的 AI 使用者首要原則是「先有自己的原創想法，再使用 AI 協助」。AI 應該是輔助學習的工具，不能完全取代我們自己的思考與創作。,,,,,,
136,high015,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),AI 有時會煞有其事地給出一個根本不存在的假資訊（例如虛構的歷史事件或不存在的景點），我們把這種 AI 常常出錯的現象稱為什麼？, AI 的奇幻漂流, AI 魔法, AI 幻覺, AI 讀心術,C,AI 無法自行判斷資料的真偽，有時候會將無關的資訊拼湊在一起，產生出聽起來很合理卻是錯誤或虛構的答案，這被稱為「AI 幻覺」。,,,,,,
137,high016,high,single_choice,二、 學習運用與正向協助 (創意激發),老師請大家寫一篇科幻小說，當你缺乏靈感時，可以如何善用 AI 工具來激發創意？,直接請 AI 寫完一篇1000字的小說，並填上自己的名字繳交,提示 AI 幫忙列出幾個有趣的故事點子或大綱，自己挑選後再進行原創撰寫,叫 AI 去網路上下載別人的得獎作品,放棄寫作，叫 AI 幫忙寫一封信跟老師請假,B,我們可以利用 AI（如寫作精靈）來激發好點子或列出大綱，提供寫作靈感，但具體的內容與創作必須由我們自己完成，不可直接代寫。,,,,,,
138,high017,high,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),發現有同學遭到「深偽技術」（Deepfake）變臉成不雅影片並在網路上流傳，身為數位好公民的你應該怎麼做？,覺得好笑，馬上轉傳到其他群組,截圖保留證據，協助通報「衛生福利部性影像處理中心」，且絕對不轉傳,在影片底下留言嘲笑該名同學,把影片下載下來存在自己的電腦裡欣賞,B,發現不當的深偽影像時，應謹記「不轉傳、截圖保留證據、向專業單位申訴」的原則，避免對受害者造成二度傷害。,,,,,,
139,high018,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),當你請 AI 幫忙規劃旅遊行程時，它卻安排了一個「根本不存在的虛構遊樂園」，這種 AI 自以為是、煞有其事給出錯誤資訊的現象稱為什麼？, AI 的覺醒, AI 幻覺, AI 魔法, AI 讀心術,B,AI 無法自行判斷結果的真實性，有時會將資料錯誤拼湊，產生聽起來很合理卻是虛構或錯誤的答案，這就是「AI幻覺」。,,,,,,
140,high019,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在社群媒體上看到一段震驚的名人發言影片，為了確認這是不是「深偽技術」製作的假影片，你可以使用什麼「AI偵探工具箱」的方法？,看看發布影片的人是不是有很多粉絲，粉絲多就是真的,仔細觀察影片中人物的臉頰邊緣、牙齒或眼鏡是否有不自然扭曲，並尋找可信的新聞來源查證,看看影片有沒有配上好聽的音樂,檢查影片有沒有高畫質(4K)標籤,B,深偽技術在合成時，常會在細節（如臉部對稱、牙齒或背景邊緣）產生不自然的扭曲。我們應仔細觀察這些「不合理的地方」並主動查證。,,,,,,
141,high020,high,single_choice,三、 使用安全與倫理規範 (學術倫理與誠實),依據老師的規定，你在完成科學報告時使用了 AI 幫忙將文字潤飾得更通順。繳交作業時，你必須完成哪一項重要的步驟？,為了拿高分，故意隱瞞不說，宣稱全都是自己寫的,清楚標註報告中哪些段落或內容是經過 AI 協助潤飾的，對自己的作品負責,把報告上自己的名字擦掉，改成 AI 的名字,把這份報告賣給其他同學,B,負責任的 AI 使用者在依規定使用 AI 協助構思或潤飾後，應該清楚標註 AI 協助的部分，遵守學術誠信，不把生成內容直接當作原創繳交。,,,,,,
142,high021,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),在網路上看到一段影片，是某位名人代言免費送手機的煽動性好康，為了防範「深偽技術」受騙，你應該怎麼做？,立刻點擊連結並輸入個人資料,覺得能賺錢，分享給所有親戚朋友,仔細尋找影片中是否有不自然的臉部邊緣或怪異的聲音，並向官方網站查證,馬上留言稱讚這位名人,C,深偽技術在合成時，常會在細節（如臉部邊緣扭曲、聲音不同步）產生不自然的地方。面對這類煽動性影片應保持警覺並主動查證。,,,,,,
143,high022,high,single_choice,三、 使用安全與倫理規範 (使用安全與倫理規範),為了保護個人隱私與資訊安全，國中小學生上網使用生成式 AI 時，建議優先選擇哪一類工具？,網路上隨便找的免費不明 AI 網站,要求輸入身分證字號和真實地址的國外網站,專為教育目的設計的 AI 產品（如教育部因材網e度或酷英網），並在師長引導下使用,盜用同學的帳號來登入,C,一般 AI 平臺可能有收集個資的風險。學生應優先使用專為教育設計的 AI 工具，以保護資訊隱私並符合年齡規範。,,,,,,
144,high023,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),當 AI 給你的科學解答與課本上學到的知識不一樣時，你應該採取什麼態度？,認為課本一定寫錯了，完全相信 AI ,保持懷疑，主動查證其他可信的資料來源，並向老師請教確認,隨便選一個答案就好,覺得 AI 壞掉了，把電腦關機,B,AI 有時會出錯或產生幻覺。使用 AI 時應保持高度警覺與批判性思考，不輕易盲從，並主動向老師或可靠資料查證。,,,,,,
145,high024,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),布米用 AI 查資料時，發現 AI 的答案和課堂上老師教的不一樣，身為聰明的「AI 偵探」，他應該怎麼做？,認為課本一定過時了，全部相信 AI ,覺得 AI 壞掉了，把電腦摔壞,保持懷疑，主動上網搜尋其他可信資料或向老師請教查證,直接把 AI 的答案抄上去，反正有寫就好,C,AI 的答案不一定全對（可能會出現 AI 幻覺或錯誤）。遇到懷疑的資訊時，要保持批判性思考，主動尋求多方查證或詢問老師。,,,,,,
146,high025,high,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),下列何者最能正確描述生成式 AI？,具有人類意識的數位生命,根據大量資料學習模式後生成內容的系統,永遠客觀中立的百科全書,能自行決定社會規則的裁判,B,生成式 AI 透過資料與模型學習規律產生輸出，並不等於具有意識。,,,,,,
147,high026,high,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),為什麼 AI 有時會『說得很像真的』卻仍然出錯？,因為表達流暢不代表事實正確,因為 AI 只有在晚上會錯,因為錯誤只會出現在圖片,因為人類一定比 AI 慢,A,生成式 AI 擅長產生自然語言，但不具備自動保證真實性的能力。,,,,,,
148,high027,high,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),AI 輸出的品質，通常和哪個因素關係最密切？,資料品質與提示內容,滑鼠顏色,螢幕大小,打字速度快慢,A,訓練資料與提示詞品質都會影響 AI 的表現。,,,,,,
149,high028,high,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),下面哪個說法最合理？,AI 擅長輔助，但不能完全取代人的判斷,AI 比所有專家都可靠,AI 不需資料也能學會一切,AI 只要連上網就不會錯,A,AI 適合協助整理、生成與建議，但重要判斷仍需人負責。,,,,,,
150,high029,high,single_choice,一、 AI 認知與資訊素養 (AI 基本原理),若兩個 AI 對同一問題給出不同答案，最可能代表？,至少其中一個需要再查證,兩個都一定正確,只要選字比較多的,代表問題不能問,A,不同模型、資料與提問方式都可能導致結果不同，因此需要查證。,,,,,,
151,high030,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),某影片中名人『親口』鼓勵大家投資，但來源不明且語氣異常，最適合的判斷是？,可能涉及深偽，應先查證再決定是否相信,既然有畫面就一定真實,越像真人越不可能造假,先下載轉傳再說,A,深偽技術可合成影像與聲音，來源不明的煽動影片更需查證。,,,,,,
152,high032,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),如果你懷疑某張災難照片是 AI 生成的，第一步最好是？,停止轉傳並查核來源,先做成報告插圖,因為多人轉發就採用,先加上聳動標題,A,災難照片若不實，可能造成恐慌與錯誤判斷，因此要先查證。,,,,,,
153,high034,high,single_choice,一、 AI 認知與資訊素養 (辨別真偽),當你發現疑似 AI 換臉的不當內容時，較合適的行動是？,保留證據、不要轉傳並尋求大人協助,下載收藏觀察,分享給更多人討論,改圖後再上傳,A,遇到不當深偽內容，要避免二次傷害並尋求協助。,,,,,,
154,high038,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),下列哪個問題最能幫助你檢查 AI 的答案？,它的資料來源可能是什麼？,它打字快不快？,它用哪一種字體？,它會不會生氣？,A,思考資料來源與限制，有助於判斷答案可信度。,,,,,,
155,high039,high,single_choice,一、 AI 認知與資訊素養 (批判性思考),若 AI 給出非常武斷的建議，較好的反應是？,追問理由與依據，並另找來源比對,因為很肯定所以照做,把答案做成公告,完全停止思考,A,追問依據與查核來源，是更成熟的使用方式。,,,,,,
156,high040,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),若要請 AI 幫你比較『颱風』和『龍捲風』，哪個提示較完整？,請用表格比較颱風與龍捲風的形成、範圍與危險性，並以六年級程度說明,比較颱風,快點整理,說說天氣,A,完整提示包含主題、比較面向與受眾程度。,,,,,,
157,high042,high,single_choice,一、 AI 認知與資訊素養 (提示詞工程),如果 AI 回答偏離題目，下一步較好的做法是？,重述問題並加入限制條件,一直貼同一句話,怪 AI 不懂就放棄,把錯誤答案直接使用,A,有效提示是可以逐步修正與迭代的。,,,,,,
